index,content
141,未来 教育集团 美 申请 IPO 拟 募资 千万美元
142,立思辰 拟 200 万 投资 语音 技术 提供商 凌声芯 进一步 整合 旗下 教育 业务
143,科技 内容 新 玩法 生产 一本 童书 Lost My Name 获 Google 领投 900 万美元
144,达内科技 获 KKR 注资 韩少云 增持
145,早教 工具 Brightwheel 220 万美元 种子轮 融资
146,语言 学习 服务 Babbel C轮 200 万美元 融资
147,幼儿 共育 APP 娃娃 获 融资 风口
148,殊途同归 K1 好未来 投资 作业盒子 一步 进校
149,凯美特气 拟以 现金 方式 收购 习习网络 松特高新 100% 股权 教育 行业
150,宝宝树 亿美元 等额 融资 聚美优品 领投
151,疯狂 老师 获 2400 万美金 B+轮融资 教育 O2O 疯狂
152,贝乐学科英语 亿 人民币 B轮 融资
153,异乡 好居获 利欧集团 1500 万 融资 布局 留学 产业链
154,易观企业教育 获 A轮 4000 万 投资 欲 启动 上市 计划
155,方直科技 拟募 亿 用于 教学 研 云和 同步 资源 学习 系统
156,高思教育 获 九鼎 战略 投资 布局 K1 教育
157,好未来 1800 万美金 投资 O2O 平台 顺顺留学 开放 整合 产业链 资源
158,啄木鸟教育 获 200 万美元 战略 投资 东方港湾 首次 涉足 教育
159,专注 AR 儿童 玩教 品牌 小熊尼奥 获 A轮 1.2 亿 融资
160,罗辑思维 B轮 融资 俞敏洪 张邦鑫 投资人
161,丢思 享会 联接 美国 亚洲 做 全球化 教育科技 公司
162,学生 背后 家长 家长 获 600 万元 天使 融资
163,沪江 获 汉能 软银 10 亿 人民币 D 轮 融资 开启 进校 计划
164,Knewton 新一轮 融资 金额 4725 万美元
165,K1 教学管理 平台 MasteryConnect 扎克伯格 500 万美元 投资
166,周源 确认 知乎 获 腾讯 C轮 融资 称 估值 肯定 亿美元
167,学堂 在线 A+轮 融资 1760 万美元 职业 方向 发展
168,小站教育 获超 6000 万美元 C轮 融资 年内 融资额 亿美元
169,狸米 学习 获 北极光 数百万 美金 天使轮融资 小学 数学 切入 公立 校
170,宝宝巴士 获 4000 万 B轮 融资 曹允东 领投
171,终于 迎来 教育领域 独角兽 Udacity D 轮 1.05 亿美元 融资
172,鼓励 大学 Make Schoo l 拿到 融资 希望 中学生 拥有 独立 制作 APP 能力
173,创业 五年 三级跳 慧科教育 亿元 B 轮 融资 构建 高教 职教 生态
174,星天乐园 获 千万级 Pre A轮 融资 游戏 中 启蒙教育
175,小站教育 获超 7000 万美元 C轮 融资 红杉资本 领投 此前 投资方 比例 跟投 加倍
176,B C 学习 平台 Knewton 获 200 万美元 融资
177,Quizlet 获 200 万美金 轮 融资 目标 覆盖 10 亿 学生
178,佳一教育 投资 英国 EZ Education 开启 国际化 路
179,爱早教 获 千万元 轮 投资 解决 课程 点评 APP 核心 痛点
180,The Noodle Companies 融资 2800 万美元 进军 K1 市场
181,链接 手腕 手掌 儿童 云 平台 童伴 获 新东方 数千万 A轮 融资
182,在线教育 平台 阿凡题 B 轮 6000 万美元 融资
183,印度 大数 教学 网站 Jigsaw Academy 获 300 万美元 A轮 融资
184,艾普菲 获 智慧树 战略 投资 拟 社区 拓展 全国 业务 推 大规模 在线 教学
185,重构 K1 一对一 培训 前 学大 高管 创立 致优教育 获 6000 万 A轮 融资
186,世界 Degreed 获 2100 万美元 融资 打造 量化 在线 学习 成果 学位 平台
187,中文在线 教育集团 拟向 ATA 投资 2300 万美元
188,杰睿教育 获 新南洋 机构 2.6 亿元 A轮 投资 并入 上市公司
189,学校 选 K1 产品 Noodle Mark ets 获 300 万美元 种子轮 投资
190,华图教育 拟 投 一亿 设立 全资 子公司 教育 投资 业务 布局
191,优化 招生 招聘 高校 档案 管理系统 Interfolio 获 200 万美元 A轮 融资
192,印度 职业教育 平台 Springboard 获 种子轮 融资 170 万美元
193,威创股份 发布公告 定增 募资 25 亿 进一步 幼教 业务 布局
194,魔方格 获 数千万元 B轮 融资 拆分 VIE 架构
195,好未来 投资 Knewton 中国 市场 Knewton 重点
196,印度 妈妈 大众点评 育儿 信息 平台 mycity4kids A轮 融资 300 万美元
197,AR 智能 玩具商 添 一家 梦芽科技 获 1000 万 人民币 战略 投资
198,天神娱乐 旗下 基金 亿元 人民币 投资 上海精锐
199,家园 共育 产品 贝聊 获 B轮 亿元 人民币 投资 威创股份 领投
200,拿到 新东方领投 200 万美元 B 轮 乐乐课堂 一步 在线 变现
201,芥末 晚报 中文在线 学习 平台 ChineseBon 上线 美国 学生 贷款 平台 College Ave 获 200 万美元 融资
202,新东方在线 获 腾讯 3.2 亿元 投资 启动 国内 IPO 计划
203,60 视频 教 创业 Grovo 获 C 轮 4000 万美元 融资
204,美国 教师 专业 成长 提供 BetterLesson A轮 600 万美元 融资
205,教辅书 切入 公立 校 深圳远景同程 获 5000 万元 A轮 投资
206,Knewton 结束 F 轮 融资 获投 200 万美元
207,半年 流水 3000 万 三好 网 7500 万 Pre 轮 融资
208,创业 链接 微链 获 经纬中国 2800 万元 A轮 A+轮 投资
209,学生 建立 在线 图书馆 LightSail 1100 万美元 B轮 融资
210,独家 北美 留学生 日报 Pre A轮 1000 万元 融资 小站教育 领投
211,学生 助学 贷款 公司 Future F ance 融资 1.71 亿美元 主打 欧洲 高等教育 市场
212,印度 流行 家教 O2O 平台 Flipclass 获 100 万美元 融资
213,美国 码农 新春 天 RE VA T UR E A轮 200 万美元 融资
214,学生 提供 个性化 学习 方案 印度 在线教育 平台 BYJU 获 7500 万美元 融资
215,学生 定义 大一 生活 美国 创业 公司 BridgeEdU 310 万美元 融资
216,欢聚时代 投 10 亿推 财经 直播 平台 知牛财经 进军 金融 教育领域
217,腾跃校长社区 获 1500 万 A轮 融资 拥有 三万 校长 社群 发展
218,新东方 高管 离职 创业 获前 东家 天使投资
219,儿童 早教 成长 平台 成长保 获 1000 万 Pre A轮 投资
220,选 大学 职业 导向 学业 规划 平台 Schoold 获 450 万美元 种子轮 融资
221,产品 上线 芬兰 AI 教育 公司 Claned 获 400 万 欧元 融资
222,邢帅教育 获 亿 人民币 B轮 融资 投资方 国泰君安 中国移动 中民投 华盖资本
223,全球 首家 教学 设计 做 在线 教室 翼鸥教育 融资 ATA 好未来 合投
224,做 产科 领域 医疗 教育 平台 iBaby 获 A轮 数千万元 投资
225,互联网 学车 平台 车轮互联 C轮 融资 估值 24 亿
226,寓乐湾 获 中文在线 数千万元 轮 融资 创客教育 火热
227,专注 美国 K 12 阶段 学生 提供 医疗 信息 记录 CareDox 430 万美元 融资
228,慧沃 1.5 亿 B+轮融资 CEO 张康 募资 亿元 成立 产业 投资 基金
229,四线 城市 搭建 云 教室 鹦鹉螺 A轮 2400 万元 融资
230,获 500 万美元 A轮 融资 Finger 乐器 学习 电商 切入 市场
231,儿童 英语启蒙 APP 叽里呱啦 获 数千万元 A轮 融资
232,ClassWallet 获 美国 团队 Idea Bulb Ventures 领投 150 万美金 种子轮 融资
233,做 企业 新 媒体 培训 插 坐 学院 获 700 多万元 Pre A轮 融资
234,美国 教学 互动 管理 平台 ClassDojo 2100 万美元 B轮 融资
235,在线 一对一 家教 服务 机构 GotIt 900 万美元 融资
236,学生 纸笔 化 考试 中 解救出来 DigiExam A轮 350 万美元 融资
237,知鸟游学 获 200 万元 融资 B 渠道
238,小老鼠 独角兽 养成 记 Age Learn g 1.5 亿美元 融资 估值 已达 10 亿
239,900 万元 投资 壹医考 全美在线 布局 职业教育 产业 生态 链
240,获 数千万元 融资 保利威视 发力 VR
241,A轮 1160 万美元 融资 加拿大 教学 互动 平台 FreshGrade 成立 交出 漂亮 成绩单
242,新获 数百万 美金 融资 Cambly 共享 经济 视频 聊天 帮 练 口语
243,B轮 1500 万美元 融资 波兰 社会化 学习 网站 Brainly 诠释 Bra y sexy
244,帮 老师 快速 搭建 在线 网校 Teachable 250 万美元 融资
245,美国 数学 教辅 软件 Tabtor Math A轮 370 万美元 融资
246,教育 培训 服务平台 课栈 网获 A轮 8000 万 融资 城市 拓展
247,教师 成长 专业化 评测 工具 KickUp 种子轮 154 万美元 融资
248,印度 系 公司 发力 AR 教育 公司 Smartivity 种子轮 融资 100 万美元
249,美国 教育 通讯 软件 Bloomz 种子轮 230 万美元 融资
250,Chegg 收购 在线 论文 写作 工具 完善 大学生 服务 链条
251,做 腾讯 儿童 智能 台灯 康康网络 获 千万级 A轮 融资
252,STEM 课程 提供商 速成 学习 获 1000 万美元 融资 一步 全球化
253,一线 教师 量身 打造 App Zzish 70 万英镑 融资
254,华图 1.25 亿 投资 兄弟 进一步 拓展 职业教育 版图
255,猿题库 公司 更名 猿辅导 获 腾讯 4000 万美元 融资
256,CampusRoom 获 千万元 Pre A轮 融资 专攻 海外 留学生 公寓 市场 并购 Moveha
257,在线教育 创企 Udemy 获 Naspers 6000 万美元 投资
258,凯恩备考 获 千万元 天使轮融资 做线 上线 融合 式 留学 备考 服务
259,学吧课堂 获 创新工场领投 200 万元 A轮 投资 未来 打造 AI 老师
260,教育科技 公司 Lost My Name 轮 获 400 万 欧元 完善 自有 图书 业务 链
261,百年 英才 获 数千万 人民币 A轮 融资
262,家教 O2O 平台 选师 无忧 获 6000 万元 A轮 投资 重点 发展 线下 体验 店
263,微软 262 亿美元 收购 LinkedIn
264,疯狂 老师 C轮 1.2 亿元 融资 腾讯 合作 直播 课程
265,写作 过程 中 监控 智能 写作 工具 Citelighter 210 万美元 融资
266,专注 大学生 学业 发展 申请 方获 ATA 战略 投资
267,棕榈股份 1.7 亿元 认购 嘉达早教 股票 切入 教育领域
268,美联英语 获 1.7 亿 人民币 融资 计划 登陆 国内 资本 市场
269,迪殊教育 获 900 万 投资 体制 学校 培训 老师
270,全球 买买 买 亿翔控股 1.275 亿美元 收购 金宝贝早教
